hyfoam_n2,,dsmcfoam_n2,,hyfoam_o2,,dsmcfoam_o2,,hyfoam_n,,dsmcfoam_n,,hyfoam_o,,dsmcfoam_o,,hyfoam_no,,dsmcfoam_no,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
9.830694452358874e-10,0.8037649870998606,1.920112284122562e-9,0.8117329446608351,9.7650663257765e-10,0.21435315926566048,1.957826451521535e-9,0.20721476008389286,9.99439222498671e-10,0.000014339727306785133,1.9507010648907323e-9,0.000023163825682315043,9.766999775566248e-10,0.0005945710462801551,1.973196853129832e-9,0.0011690644838992705,1.8891666470106046e-8,0.000009953501360166349,3.9897553072721224e-8,0.000010849585369011949
1.22529224394538e-7,0.806415940085359,5.792806026401189e-9,0.7928064689379947,1.0393118046868946e-8,0.21123309960582629,5.804573094999043e-9,0.20685895693016987,7.889844241041075e-9,0.00011513148314565531,5.975194824693815e-9,0.0000967127332237685,1.0817711087225163e-8,0.006478161067801894,5.891404036310102e-9,0.0035173405443570446,8.918050809442871e-8,0.0001794840451805646,7.975719666983764e-8,0.00007330071884356159
0.000011564357031644348,0.7417019760696061,3.9228536787881524e-8,0.7904121309537954,9.966455294358592e-8,0.19712716833638425,1.943703154691164e-8,0.2064640211875182,4.3638185365587804e-8,0.0005845890127580648,1.929453595126352e-8,0.0002695249414414993,7.117795906085761e-8,0.038738833497024984,1.9354792864009324e-8,0.010814647760510894,3.1089394304317704e-7,0.0015073555126002209,1.9641459700158114e-7,0.0005285950496082083
0.0009832154249182585,0.7285082675900152,1.942554413363014e-7,0.7970742956001782,4.853084016367473e-7,0.13416067532083426,7.81279507620252e-8,0.1993689454752366,2.726151539058493e-7,0.0028720505059875888,8.0133094328847e-8,0.001030653292065309,0.000001079032070350648,0.23645898610628047,7.697645555552421e-8,0.037078095954943734,0.0000012570122325269537,0.009423673616901817,5.807287051783261e-7,0.0032703839340510544
,,5.809682773292358e-7,0.7870505594396383,0.000002283940511048027,0.0583485748710204,3.8370283109524645e-7,0.14970106577684766,0.0000023910137037729768,0.012370136774697317,3.960190052290422e-7,0.0038972921955287357,0.00000972931295671173,0.356871019817567,4.0087024155312976e-7,0.1229718876828803,0.00000643053614757991,0.04152030610191428,0.0000019743528573420375,0.014106913148856634
,,0.000003900352902642785,0.7677279042615484,0.000008732898601064048,0.013180986349304556,0.0000019523913952195174,0.0734105469472157,0.00001923462530179184,0.03756761458795666,7.797878864347854e-7,0.00583202640936202,0.0000840345610545974,0.39239648552902745,0.0000019656425541817227,0.26350100596115517,0.000035954467341164636,0.050957880956795834,0.000005795339190148865,0.03337761569432311
,,0.00000761821976477297,0.7669155968582192,0.0000206975023866892,0.0031471191538598475,0.000005899330909089376,0.025679768476423122,0.0001522095369555445,0.06121608506939388,0.000003924752578733547,0.012360446604236073,0.0009670794661834782,0.417359558987417,0.00000577491430305446,0.34565114526560775,0.00017826598554482645,0.02240393977515736,0.00001922954862098684,0.04474197278528816
,,0.000038721527959429685,0.7733478181874677,0.00007907132015086256,0.0012546157907801108,0.000019480852837068882,0.0026140243467847385,0.0009610038380051909,0.08563649924386814,0.000007796613908165429,0.016948604731060572,,,0.000019503685373615974,0.3806244475310917,0.000964211834049494,0.009427626039303224,0.00006011549278851539,0.025585675389262635
,,0.0000769605826436144,0.7558149506395937,0.0010046798738352972,0.00014214848474051778,0.00005939190867313916,0.0007762089325890462,,,0.00003959035959261443,0.03220358474607466,,,0.0000583247544048676,0.4012948382966589,,,0.00019129610879115567,0.01163177435999267
,,0.00039117161812376875,0.7621540693984049,,,0.00019753737429757388,0.00021583648996645894,,,0.00007866275842612872,0.03873270911511018,,,0.00019700037254347243,0.41386546378323036,,,0.0005827201507539412,0.0060290798898185675
,,,,,,0.0005917201323173156,0.00007468263632267753,,,0.0003892724369186229,0.060461212893421296,,,0.0005840579974951473,0.4176924972758087,,,,
