hy2foam_default_t_v,,hy2foam_default_t_tr,,hy2foam_temporary_t_v,,hy2foam_temporary_t_tr,
X,Y,X,Y,X,Y,X,Y
1.0222322010098324e-9,1.1188380281690122,9.950922435081968e-10,29.93573943661972,1.0104359430402173e-9,1.3917253521126796,1.000803561715876e-9,29.908450704225356
3.2527353127025617e-9,1.3917253521126796,3.67321207725126e-9,29.93573943661972,3.879657986191264e-9,2.128521126760564,3.570379900630432e-9,29.772007042253524
9.886389544395495e-9,1.9647887323943678,1.2881939338813468e-8,29.79929577464789,1.2543705502311166e-8,3.9568661971831,1.26677407600762e-8,29.335387323943664
3.442454973004805e-8,3.7931338028169037,4.292868339047005e-8,29.28080985915493,3.3743553573529517e-8,7.695422535211268,4.128265983489554e-8,28.16197183098592
9.474913218485194e-8,7.422535211267608,1.2553280969440403e-7,28.107394366197187,7.555795716953064e-8,12.743838028169016,1.2357196157432135e-7,26.251760563380284
2.0618795379023566e-7,12.525528169014088,3.48901354579098e-7,26.22447183098592,1.4503709457628988e-7,17.846830985915496,3.6980798022271893e-7,24.64172535211268
4.5591573034258855e-7,19.18397887323944,0.0000011310615592929244,24.450704225352116,2.707855431076657e-7,21.91285211267606,0.0000011119641512631968,24.34154929577465
0.0000010155825120639471,23.55017605633803,0.0000027693357741871645,24.34154929577465,8.266551576194381e-7,24.25968309859155,0.0000031937073704961087,24.34154929577465
0.0000030862117357731836,24.368838028169016,0.000009822669646681075,24.314260563380284,0.0000027223035801491935,24.368838028169016,0.000009822669646681075,24.314260563380284
0.000009766810423726455,24.314260563380284,,,0.000009878451598878582,24.368838028169016,,
