hy2foam_park_n2,,hy2foam_park_n,,hy2foam_cvdv_n2,,hy2foam_cvdv_n,,dsmc_n2,,dsmc_n,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.2115823793336946e-9,0.498431204595584,1.2223835022835925e-9,0.49718057738743837,1.0420402017185475e-9,0.498403877265843,1.032840805149397e-9,0.49840226977585833,1.990768196855039e-9,0.4960167546384696,1.9557112869940825e-9,0.5010224784510225
8.010098648100062e-9,0.4975213652642082,1.1522029307903992e-8,0.498839507051714,1.1522669037223449e-8,0.4900738641647998,1.1831342072669384e-8,0.5163756152954967,5.8212000070381875e-9,0.4924545568322344,5.924607454809622e-9,0.5124935269822933
4.8463180647904196e-8,0.4965954510329845,8.54765564161863e-8,0.5092206773733156,1.356233028461862e-7,0.42540454207777256,1.196272370475305e-7,0.6395141705983193,1.9618065581284494e-8,0.47639573188444895,1.9784796746970347e-8,0.5402613089790944
3.1205395055876855e-7,0.4643749217783891,5.850205888047619e-7,0.6410541460037225,6.577986664454715e-7,0.3292686035390038,5.44361120177124e-7,0.8138496744258678,7.966212557468154e-8,0.43156926616934,7.88605856434389e-8,0.62816850628586
0.0000017599691535419492,0.350735024795533,0.000002933854474148516,0.87050565893885,0.00000446871463656917,0.2369504537140481,0.000003146993967641267,0.9982464580680498,3.898085092327528e-7,0.33919163921494766,4.0266123082688886e-7,0.8175517238607776
0.00001306643842777521,0.2396494293984659,0.000019034243424751877,1.0461576970639197,0.000028271567588673043,0.18594318900752405,0.00002688463228734787,1.1276156445518146,7.855988493012734e-7,0.297994885885434,7.826260683164717e-7,0.8965630715918629
0.00010227541318547149,0.18116733626279258,0.0001280068941833185,1.150438787355484,0.00017569936971856604,0.15121176039672868,0.00013142660276115186,1.1880106507693564,0.00000391234359761014,0.22941293317549305,0.000003892318041053138,1.0396087828659941
0.0009991279117636785,0.13775224675430575,0.0009662395040620103,1.2221826728654546,0.0009729609014775691,0.12772954669930647,0.0009660939035673821,1.245975132129936,0.000019654510107271804,0.18337281252188764,0.00000790990468965922,1.0848178311974768
,,,,,,,,0.000059028123867917284,0.16103191671364736,0.00003970593864207326,1.1627489456588012
,,,,,,,,0.00019200174824179266,0.14246219240966185,0.00007858335855101874,1.1841607122558484
,,,,,,,,0.0005869354413456812,0.12513345037391366,0.00038759799486079205,1.237043917774591
