hyfoam_t_tr,,dsmcfoam_t_tr,
X,Y,X,Y
1.0000151642643265e-9,10.00891265597148,4.001262018635338e-9,9.973262032085563
5.917718689589946e-9,9.982174688057041,1.9972844702248176e-8,9.928698752228165
3.877320049634166e-8,9.812834224598932,7.988992828330008e-8,9.705882352941178
1.5372259403785829e-7,9.385026737967916,3.9832214422894764e-7,8.983957219251337
5.786694043846606e-7,8.489304812834225,7.994628116946936e-7,8.453654188948308
0.0000016451872164171514,7.611408199643495,0.000003948760933333067,7.210338680926917
0.0000049648747922786575,6.79590017825312,0.000007927145996174049,6.804812834224599
0.000017468086375397543,6.172014260249555,0.00003953584184480884,6.26114081996435
0.00011634341676194035,5.637254901960785,0.00008007489014359808,6.065062388591801
0.0009749051309573697,5.062388591800357,0.0003926905704763925,5.614973262032086
