htr_nonpreferential_t_tr,,htr_nonpreferential_t_v,,htr_preferential_t_tr,,htr_preferential_t_v,
X,Y,X,Y,X,Y,X,Y
9.9278531805198e-11,14.900568181818182,9.85622687739571e-11,1.1079657125500262,9.85622687739571e-11,14.900579348913665,1.0145870346119995e-10,1.1505346805317274
2.1388911289655253e-10,14.757339015151516,2.7359422004802033e-10,1.7313911520869016,2.816342925730719e-10,14.700096483704975,2.696606705137414e-10,1.7172089408233244
6.812920690579622e-10,14.35782500714694,8.970779639335119e-10,3.0931961120640334,8.651808900090464e-10,14.28643376572327,6.812920690579622e-10,2.7243022798742107
2.3500071432694143e-9,13.233756342910237,2.2995095635608642e-9,4.980948935105774,1.9467410023284937e-9,13.47552396012007,1.5553348361604062e-9,4.100870140080044
4.04499732731836e-9,12.139168810749,4.541849135896984e-9,6.712853773584904,3.3266918836345418e-9,12.693447595054318,2.920174505387707e-9,5.47773951186392
7.219224808051122e-9,10.263275443110349,7.817749689997524e-9,7.905198059605489,7.219224808051122e-9,10.746229988564895,5.482690250137805e-9,6.797790701829616
1.181209806959644e-8,8.430129716981131,1.2699118767158921e-8,8.259563500571756,1.1984401552978e-8,8.913061928244712,9.437191487625724e-9,7.407748624213836
1.6126761746240728e-8,7.548967713693537,2.7359422004802147e-8,7.633379788450542,1.8239221155615596e-8,7.832868782161237,1.4572095627426434e-8,7.392874053030301
2.7758514840550493e-8,6.724266545168668,5.562666442583437e-8,6.80842177672956,3.208405913850021e-8,6.965520475986278,2.5264791775530632e-8,7.079525353773585
5.809663030920632e-8,6.382218410520297,1.425896655351104e-7,6.267197327044027,8.841803939240899e-8,6.424184355345913,5.809663030920632e-8,6.538468410520297
1.589490225686548e-7,6.26702982061178,4.1338260837601656e-7,6.237146673098916,2.8574250174676244e-7,6.195102558604919,1.6126761746240728e-7,6.195984759148086
9.85622687739575e-7,6.178988439822758,9.64443364783373e-7,6.193226486563752,9.92785318051984e-7,6.19318181818182,4.2862300003367275e-7,6.166068110348773
,,,,,,9.574852126495827e-7,6.193237653659237
